"PMID","domain","Study_Type","state"
"STUDY-0633","Confounding bias","Causal","VAL"
"STUDY-0876","Confounding bias","Causal","VAL"
"STUDY-0669","Confounding bias","Causal","OK"
"STUDY-0074","Confounding bias","Descriptive","NA"
"STUDY-0055","Confounding bias","Descriptive","NA"
"STUDY-0722","Confounding bias","Descriptive","NA"
"STUDY-0947","Confounding bias","Descriptive","NA"
"STUDY-0245","Confounding bias","Descriptive","NA"
"STUDY-0379","Confounding bias","Causal","VAL"
"STUDY-0887","Confounding bias","Causal","VAL"
"STUDY-0695","Confounding bias","Causal","VAL"
"STUDY-0762","Confounding bias","Causal","VAL"
"STUDY-0823","Confounding bias","Causal","VAL"
"STUDY-0536","Confounding bias","Causal","VAL"
"STUDY-0650","Confounding bias","Causal","VAL"
"STUDY-0273","Confounding bias","Causal","VAL"
"STUDY-0961","Confounding bias","Causal","VAL"
"STUDY-0609","Confounding bias","Causal","VAL"
"STUDY-0976","Confounding bias","Causal","VAL"
"STUDY-0282","Confounding bias","Causal","VAL"
"STUDY-0867","Confounding bias","Descriptive","NA"
"STUDY-0794","Confounding bias","Descriptive","NA"
"STUDY-0829","Confounding bias","Causal","VAL"
"STUDY-0875","Confounding bias","Descriptive","NA"
"STUDY-0443","Confounding bias","Causal","VAL"
"STUDY-0269","Confounding bias","Causal","VAL"
"STUDY-0241","Confounding bias","Causal","VAL"
"STUDY-0336","Confounding bias","Causal","OK"
"STUDY-0812","Confounding bias","Causal","VAL"
"STUDY-0567","Confounding bias","Causal","OK"
"STUDY-0232","Confounding bias","Descriptive","NA"
"STUDY-0648","Confounding bias","Descriptive","NA"
"STUDY-0656","Confounding bias","Causal","VAL"
"STUDY-0185","Confounding bias","Descriptive","NA"
"STUDY-0991","Confounding bias","Causal","VAL"
"STUDY-0047","Confounding bias","Descriptive","NA"
"STUDY-0186","Confounding bias","Descriptive","NA"
"STUDY-0713","Confounding bias","Causal","VAL"
"STUDY-0710","Confounding bias","Causal","OK"
"STUDY-0520","Confounding bias","Descriptive","NA"
"STUDY-0156","Confounding bias","Descriptive","NA"
"STUDY-0944","Confounding bias","Descriptive","NA"
"STUDY-0305","Confounding bias","Causal","VAL"
"STUDY-0676","Confounding bias","Causal","VAL"
"STUDY-0927","Confounding bias","Causal","VAL"
"STUDY-0906","Confounding bias","Causal","VAL"
"STUDY-0501","Confounding bias","Causal","VAL"
"STUDY-0868","Confounding bias","Causal","OK"
"STUDY-0183","Confounding bias","Causal","OK"
"STUDY-0053","Confounding bias","Descriptive","NA"
"STUDY-0981","Confounding bias","Causal","VAL"
"STUDY-0831","Confounding bias","Causal","VAL"
"STUDY-0519","Confounding bias","Causal","VAL"
"STUDY-0017","Confounding bias","Causal","VAL"
"STUDY-0621","Confounding bias","Causal","OK"
"STUDY-0905","Confounding bias","Descriptive","NA"
"STUDY-0143","Confounding bias","Descriptive","NA"
"STUDY-0644","Confounding bias","Causal","OK"
"STUDY-0441","Confounding bias","Descriptive","NA"
"STUDY-0030","Confounding bias","Causal","VAL"
"STUDY-0807","Confounding bias","Causal","VAL"
"STUDY-0371","Confounding bias","Causal","VAL"
"STUDY-0911","Confounding bias","Causal","VAL"
"STUDY-0430","Confounding bias","Causal","VAL"
"STUDY-0968","Confounding bias","Causal","VAL"
"STUDY-0919","Confounding bias","Causal","VAL"
"STUDY-0460","Confounding bias","Causal","VAL"
"STUDY-0617","Confounding bias","Descriptive","NA"
"STUDY-0674","Confounding bias","Causal","VAL"
"STUDY-0299","Confounding bias","Causal","VAL"
"STUDY-0580","Confounding bias","Descriptive","NA"
"STUDY-0425","Confounding bias","Causal","VAL"
"STUDY-0783","Confounding bias","Causal","VAL"
"STUDY-0466","Confounding bias","Causal","VAL"
"STUDY-0380","Confounding bias","Causal","VAL"
"STUDY-0196","Confounding bias","Causal","VAL"
"STUDY-0437","Confounding bias","Causal","VAL"
"STUDY-0566","Confounding bias","Causal","VAL"
"STUDY-0928","Confounding bias","Descriptive","NA"
"STUDY-0202","Confounding bias","Causal","VAL"
"STUDY-0019","Confounding bias","Causal","VAL"
"STUDY-0100","Confounding bias","Causal","VAL"
"STUDY-0400","Missing data","Causal","REP"
"STUDY-1007","Missing data","Descriptive","REP"
"STUDY-0995","Missing data","Causal","REP"
"STUDY-0405","Missing data","Causal","OK"
"STUDY-0531","Missing data","Descriptive","OK"
"STUDY-0106","Missing data","Descriptive","OK"
"STUDY-0527","Missing data","Causal","OK"
"STUDY-0436","Missing data","Causal","REP"
"STUDY-0427","Missing data","Causal","REP"
"STUDY-0172","Missing data","Causal","REP"
"STUDY-0177","Missing data","Descriptive","OK"
"STUDY-0393","Missing data","Descriptive","VAL"
"STUDY-0774","Missing data","Causal","REP"
"STUDY-0880","Missing data","Causal","REP"
"STUDY-0914","Missing data","Descriptive","OK"
"STUDY-0104","Missing data","Causal","OK"
"STUDY-0537","Missing data","Descriptive","OK"
"STUDY-0658","Missing data","Causal","VAL"
"STUDY-0737","Missing data","Descriptive","OK"
"STUDY-0220","Missing data","Causal","REP"
"STUDY-0994","Missing data","Causal","OK"
"STUDY-0499","Missing data","Causal","VAL"
"STUDY-0350","Missing data","Descriptive","REP"
"STUDY-0354","Missing data","Descriptive","OK"
"STUDY-0839","Missing data","Causal","REP"
"STUDY-0750","Missing data","Causal","REP"
"STUDY-0259","Missing data","Causal","REP"
"STUDY-0431","Missing data","Causal","REP"
"STUDY-0821","Missing data","Descriptive","REP"
"STUDY-1022","Missing data","Causal","OK"
"STUDY-0145","Missing data","Descriptive","OK"
"STUDY-0385","Missing data","Causal","OK"
"STUDY-0397","Missing data","Descriptive","VAL"
"STUDY-0532","Missing data","Causal","VAL"
"STUDY-0284","Missing data","Descriptive","OK"
"STUDY-0970","Missing data","Descriptive","VAL"
"STUDY-0304","Missing data","Causal","OK"
"STUDY-0487","Missing data","Descriptive","OK"
"STUDY-0362","Missing data","Causal","VAL"
"STUDY-0731","Missing data","Descriptive","OK"
"STUDY-0322","Missing data","Causal","OK"
"STUDY-0159","Missing data","Causal","REP"
"STUDY-0419","Missing data","Causal","OK"
"STUDY-0333","Missing data","Descriptive","VAL"
"STUDY-0046","Missing data","Causal","REP"
"STUDY-0355","Missing data","Causal","OK"
"STUDY-0845","Missing data","Causal","REP"
"STUDY-0555","Missing data","Causal","OK"
"STUDY-0945","Missing data","Causal","VAL"
"STUDY-0365","Missing data","Causal","OK"
"STUDY-0023","Missing data","Causal","OK"
"STUDY-0817","Missing data","Causal","OK"
"STUDY-0170","Missing data","Causal","REP"
"STUDY-0442","Missing data","Causal","OK"
"STUDY-0026","Missing data","Causal","OK"
"STUDY-0048","Missing data","Causal","OK"
"STUDY-0326","Missing data","Causal","OK"
"STUDY-0144","Missing data","Causal","REP"
"STUDY-0045","Missing data","Descriptive","OK"
"STUDY-0234","Missing data","Descriptive","REP"
"STUDY-0788","Missing data","Causal","REP"
"STUDY-0521","Missing data","Causal","VAL"
"STUDY-0192","Missing data","Causal","OK"
"STUDY-0049","Missing data","Causal","REP"
"STUDY-0012","Missing data","Descriptive","VAL"
"STUDY-0141","Missing data","Causal","VAL"
"STUDY-0671","Missing data","Causal","OK"
"STUDY-0924","Missing data","Descriptive","OK"
"STUDY-0182","Missing data","Causal","REP"
"STUDY-0597","Missing data","Causal","VAL"
"STUDY-0149","Missing data","Causal","OK"
"STUDY-0256","Missing data","Causal","OK"
"STUDY-0157","Missing data","Causal","VAL"
"STUDY-0972","Missing data","Causal","VAL"
"STUDY-0766","Missing data","Descriptive","REP"
"STUDY-0257","Missing data","Causal","REP"
"STUDY-0819","Missing data","Causal","OK"
"STUDY-0611","Missing data","Causal","REP"
"STUDY-0942","Missing data","Causal","REP"
"STUDY-0492","Missing data","Descriptive","OK"
"STUDY-0739","Missing data","Causal","REP"
"STUDY-0306","Missing data","Causal","VAL"
"STUDY-0112","Missing data","Causal","REP"
"STUDY-0613","Missing data","Causal","REP"
"STUDY-0522","Missing data","Causal","REP"
"STUDY-0792","Missing data","Causal","REP"
"STUDY-0248","Missing data","Causal","REP"
"STUDY-0189","Missing data","Causal","OK"
"STUDY-0701","Missing data","Descriptive","OK"
"STUDY-0040","Missing data","Causal","VAL"
"STUDY-0402","Missing data","Descriptive","OK"
"STUDY-0977","Missing data","Causal","REP"
"STUDY-0429","Missing data","Causal","VAL"
"STUDY-0589","Missing data","Causal","VAL"
"STUDY-0933","Missing data","Causal","OK"
"STUDY-0330","Missing data","Causal","VAL"
"STUDY-0922","Missing data","Causal","REP"
"STUDY-0600","Missing data","Causal","OK"
"STUDY-0119","Missing data","Causal","REP"
"STUDY-0251","Missing data","Causal","OK"
"STUDY-0932","Missing data","Causal","VAL"
"STUDY-0749","Missing data","Descriptive","REP"
"STUDY-0517","Missing data","Causal","OK"
"STUDY-0210","Missing data","Descriptive","REP"
"STUDY-0923","Missing data","Causal","OK"
"STUDY-0214","Missing data","Causal","OK"
"STUDY-0565","Missing data","Causal","REP"
"STUDY-0899","Missing data","Causal","OK"
"STUDY-0094","Missing data","Causal","OK"
"STUDY-0809","Missing data","Causal","REP"
"STUDY-0793","Missing data","Causal","VAL"
"STUDY-0387","Missing data","Descriptive","REP"
"STUDY-0700","Missing data","Causal","OK"
"STUDY-0805","Missing data","Causal","OK"
"STUDY-0780","Missing data","Causal","OK"
"STUDY-0184","Missing data","Causal","OK"
"STUDY-0205","Missing data","Causal","VAL"
"STUDY-0740","Missing data","Causal","VAL"
"STUDY-0930","Missing data","Causal","REP"
"STUDY-1026","Missing data","Descriptive","REP"
"STUDY-0649","Missing data","Causal","OK"
"STUDY-0133","Missing data","Causal","REP"
"STUDY-0542","Missing data","Causal","REP"
"STUDY-0337","Missing data","Causal","REP"
"STUDY-0702","Missing data","Descriptive","OK"
"STUDY-0541","Missing data","Descriptive","REP"
"STUDY-0840","Missing data","Causal","REP"
"STUDY-0447","Missing data","Causal","REP"
"STUDY-0634","Missing data","Descriptive","REP"
"STUDY-0037","Missing data","Causal","OK"
"STUDY-1021","Missing data","Descriptive","OK"
"STUDY-0268","Missing data","Causal","OK"
"STUDY-0943","Missing data","Descriptive","REP"
"STUDY-0760","Missing data","Descriptive","VAL"
"STUDY-0549","Missing data","Causal","VAL"
"STUDY-0161","Missing data","Causal","OK"
"STUDY-0064","Missing data","Causal","OK"
"STUDY-0952","Missing data","Descriptive","REP"
"STUDY-0471","Missing data","Causal","REP"
"STUDY-0135","Missing data","Causal","REP"
"STUDY-0963","Missing data","Causal","REP"
"STUDY-0494","Missing data","Causal","OK"
"STUDY-0577","Missing data","Causal","VAL"
"STUDY-0598","Missing data","Causal","OK"
"STUDY-0093","Missing data","Causal","REP"
"STUDY-0006","Missing data","Causal","OK"
"STUDY-0698","Missing data","Causal","OK"
"STUDY-0603","Missing data","Causal","OK"
"STUDY-1001","Missing data","Causal","OK"
"STUDY-0423","Missing data","Causal","REP"
"STUDY-0086","Missing data","Descriptive","OK"
"STUDY-0207","Missing data","Causal","REP"
"STUDY-0109","Missing data","Causal","REP"
"STUDY-1016","Missing data","Descriptive","REP"
"STUDY-0473","Missing data","Descriptive","OK"
"STUDY-0295","Missing data","Causal","VAL"
"STUDY-0516","Missing data","Causal","OK"
"STUDY-0803","Missing data","Descriptive","OK"
"STUDY-0307","Missing data","Causal","OK"
"STUDY-0560","Missing data","Descriptive","REP"
"STUDY-0132","Missing data","Causal","OK"
"STUDY-0852","Missing data","Causal","OK"
"STUDY-0231","Missing data","Causal","OK"
"STUDY-0595","Missing data","Causal","VAL"
"STUDY-0834","Missing data","Causal","VAL"
"STUDY-0865","Missing data","Descriptive","OK"
"STUDY-0339","Missing data","Descriptive","OK"
"STUDY-0773","Missing data","Descriptive","OK"
"STUDY-0744","Missing data","Causal","REP"
"STUDY-0475","Missing data","Causal","OK"
"STUDY-0853","Missing data","Causal","VAL"
"STUDY-0403","Missing data","Causal","VAL"
"STUDY-0628","Missing data","Causal","REP"
"STUDY-0653","Missing data","Causal","VAL"
"STUDY-0005","Missing data","Causal","VAL"
"STUDY-0162","Missing data","Causal","VAL"
"STUDY-0728","Missing data","Causal","VAL"
"STUDY-0590","Missing data","Causal","REP"
"STUDY-0440","Missing data","Descriptive","REP"
"STUDY-0450","Missing data","Causal","OK"
"STUDY-0416","Missing data","Causal","OK"
"STUDY-0557","Missing data","Causal","REP"
"STUDY-0352","Missing data","Causal","OK"
"STUDY-0468","Missing data","Descriptive","REP"
"STUDY-0665","Missing data","Causal","VAL"
"STUDY-0988","Missing data","Causal","OK"
"STUDY-0252","Missing data","Causal","OK"
"STUDY-0986","Missing data","Causal","OK"
"STUDY-0781","Missing data","Causal","REP"
"STUDY-0360","Missing data","Causal","REP"
"STUDY-1003","Missing data","Descriptive","OK"
"STUDY-0062","Missing data","Causal","OK"
"STUDY-0630","Missing data","Causal","OK"
"STUDY-0335","Missing data","Causal","OK"
"STUDY-0096","Missing data","Causal","REP"
"STUDY-0778","Missing data","Descriptive","OK"
"STUDY-0878","Missing data","Causal","OK"
"STUDY-0864","Missing data","Descriptive","VAL"
"STUDY-0902","Missing data","Descriptive","REP"
"STUDY-0345","Missing data","Descriptive","VAL"
"STUDY-0472","Missing data","Descriptive","VAL"
"STUDY-0331","Missing data","Causal","OK"
"STUDY-0476","Missing data","Causal","VAL"
"STUDY-1013","Missing data","Causal","VAL"
"STUDY-0194","Missing data","Descriptive","VAL"
"STUDY-0736","Missing data","Causal","REP"
"STUDY-0647","Missing data","Causal","OK"
"STUDY-0978","Missing data","Causal","OK"
"STUDY-0188","Missing data","Causal","OK"
"STUDY-0940","Missing data","Causal","OK"
"STUDY-0605","Missing data","Causal","REP"
"STUDY-0084","Missing data","Causal","VAL"
"STUDY-0415","Missing data","Causal","REP"
"STUDY-0426","Missing data","Causal","REP"
"STUDY-0824","Missing data","Descriptive","REP"
"STUDY-0974","Missing data","Descriptive","OK"
"STUDY-0679","Missing data","Causal","OK"
"STUDY-0115","Missing data","Causal","OK"
"STUDY-0764","Missing data","Causal","VAL"
"STUDY-0677","Missing data","Causal","OK"
"STUDY-0320","Missing data","Causal","OK"
"STUDY-0280","Missing data","Descriptive","OK"
"STUDY-0434","Missing data","Causal","REP"
"STUDY-0237","Missing data","Causal","VAL"
"STUDY-0329","Missing data","Causal","REP"
"STUDY-0561","Missing data","Causal","OK"
"STUDY-0130","Missing data","Descriptive","OK"
"STUDY-0083","Missing data","Causal","REP"
"STUDY-0633","Missing data","Causal","OK"
"STUDY-0876","Missing data","Causal","OK"
"STUDY-0669","Missing data","Causal","VAL"
"STUDY-0074","Missing data","Descriptive","OK"
"STUDY-0055","Missing data","Descriptive","OK"
"STUDY-0722","Missing data","Descriptive","OK"
"STUDY-0947","Missing data","Descriptive","OK"
"STUDY-0245","Missing data","Descriptive","OK"
"STUDY-0379","Missing data","Causal","VAL"
"STUDY-0887","Missing data","Causal","OK"
"STUDY-0695","Missing data","Causal","REP"
"STUDY-0762","Missing data","Causal","OK"
"STUDY-0823","Missing data","Causal","REP"
"STUDY-0536","Missing data","Causal","OK"
"STUDY-0650","Missing data","Causal","REP"
"STUDY-0273","Missing data","Causal","VAL"
"STUDY-0961","Missing data","Causal","OK"
"STUDY-0609","Missing data","Causal","VAL"
"STUDY-0976","Missing data","Causal","VAL"
"STUDY-0282","Missing data","Causal","OK"
"STUDY-0867","Missing data","Descriptive","OK"
"STUDY-0794","Missing data","Descriptive","OK"
"STUDY-0829","Missing data","Causal","OK"
"STUDY-0875","Missing data","Descriptive","OK"
"STUDY-0443","Missing data","Causal","OK"
"STUDY-0269","Missing data","Causal","OK"
"STUDY-0241","Missing data","Causal","REP"
"STUDY-0336","Missing data","Causal","OK"
"STUDY-0812","Missing data","Causal","OK"
"STUDY-0567","Missing data","Causal","REP"
"STUDY-0232","Missing data","Descriptive","OK"
"STUDY-0648","Missing data","Descriptive","REP"
"STUDY-0656","Missing data","Causal","OK"
"STUDY-0185","Missing data","Descriptive","REP"
"STUDY-0991","Missing data","Causal","OK"
"STUDY-0047","Missing data","Descriptive","OK"
"STUDY-0186","Missing data","Descriptive","OK"
"STUDY-0713","Missing data","Causal","REP"
"STUDY-0710","Missing data","Causal","OK"
"STUDY-0520","Missing data","Descriptive","OK"
"STUDY-0156","Missing data","Descriptive","OK"
"STUDY-0944","Missing data","Descriptive","OK"
"STUDY-0305","Missing data","Causal","VAL"
"STUDY-0676","Missing data","Causal","REP"
"STUDY-0927","Missing data","Causal","OK"
"STUDY-0906","Missing data","Causal","REP"
"STUDY-0501","Missing data","Causal","OK"
"STUDY-0868","Missing data","Causal","VAL"
"STUDY-0183","Missing data","Causal","OK"
"STUDY-0053","Missing data","Descriptive","REP"
"STUDY-0981","Missing data","Causal","VAL"
"STUDY-0831","Missing data","Causal","OK"
"STUDY-0519","Missing data","Causal","OK"
"STUDY-0017","Missing data","Causal","VAL"
"STUDY-0621","Missing data","Causal","REP"
"STUDY-0905","Missing data","Descriptive","VAL"
"STUDY-0143","Missing data","Descriptive","OK"
"STUDY-0644","Missing data","Causal","VAL"
"STUDY-0441","Missing data","Descriptive","REP"
"STUDY-0030","Missing data","Causal","REP"
"STUDY-0807","Missing data","Causal","VAL"
"STUDY-0371","Missing data","Causal","REP"
"STUDY-0911","Missing data","Causal","OK"
"STUDY-0430","Missing data","Causal","VAL"
"STUDY-0968","Missing data","Causal","OK"
"STUDY-0919","Missing data","Causal","REP"
"STUDY-0460","Missing data","Causal","REP"
"STUDY-0617","Missing data","Descriptive","REP"
"STUDY-0674","Missing data","Causal","REP"
"STUDY-0299","Missing data","Causal","VAL"
"STUDY-0580","Missing data","Descriptive","REP"
"STUDY-0425","Missing data","Causal","OK"
"STUDY-0783","Missing data","Causal","VAL"
"STUDY-0466","Missing data","Causal","OK"
"STUDY-0380","Missing data","Causal","OK"
"STUDY-0196","Missing data","Causal","OK"
"STUDY-0437","Missing data","Causal","REP"
"STUDY-0566","Missing data","Causal","OK"
"STUDY-0928","Missing data","Descriptive","OK"
"STUDY-0202","Missing data","Causal","OK"
"STUDY-0019","Missing data","Causal","VAL"
"STUDY-0100","Missing data","Causal","VAL"
"STUDY-0400","Mentioning errors","Causal","OK"
"STUDY-1007","Mentioning errors","Descriptive","OK"
"STUDY-0995","Mentioning errors","Causal","OK"
"STUDY-0405","Mentioning errors","Causal","OK"
"STUDY-0531","Mentioning errors","Descriptive","OK"
"STUDY-0106","Mentioning errors","Descriptive","OK"
"STUDY-0527","Mentioning errors","Causal","OK"
"STUDY-0436","Mentioning errors","Causal","REP"
"STUDY-0427","Mentioning errors","Causal","OK"
"STUDY-0172","Mentioning errors","Causal","OK"
"STUDY-0177","Mentioning errors","Descriptive","OK"
"STUDY-0393","Mentioning errors","Descriptive","OK"
"STUDY-0774","Mentioning errors","Causal","REP"
"STUDY-0880","Mentioning errors","Causal","OK"
"STUDY-0914","Mentioning errors","Descriptive","OK"
"STUDY-0104","Mentioning errors","Causal","OK"
"STUDY-0537","Mentioning errors","Descriptive","OK"
"STUDY-0658","Mentioning errors","Causal","OK"
"STUDY-0737","Mentioning errors","Descriptive","OK"
"STUDY-0220","Mentioning errors","Causal","OK"
"STUDY-0994","Mentioning errors","Causal","OK"
"STUDY-0499","Mentioning errors","Causal","OK"
"STUDY-0350","Mentioning errors","Descriptive","OK"
"STUDY-0354","Mentioning errors","Descriptive","REP"
"STUDY-0839","Mentioning errors","Causal","OK"
"STUDY-0750","Mentioning errors","Causal","REP"
"STUDY-0259","Mentioning errors","Causal","OK"
"STUDY-0431","Mentioning errors","Causal","REP"
"STUDY-0821","Mentioning errors","Descriptive","OK"
"STUDY-1022","Mentioning errors","Causal","OK"
"STUDY-0145","Mentioning errors","Descriptive","REP"
"STUDY-0385","Mentioning errors","Causal","REP"
"STUDY-0397","Mentioning errors","Descriptive","OK"
"STUDY-0532","Mentioning errors","Causal","REP"
"STUDY-0284","Mentioning errors","Descriptive","OK"
"STUDY-0970","Mentioning errors","Descriptive","OK"
"STUDY-0304","Mentioning errors","Causal","OK"
"STUDY-0487","Mentioning errors","Descriptive","OK"
"STUDY-0362","Mentioning errors","Causal","OK"
"STUDY-0731","Mentioning errors","Descriptive","OK"
"STUDY-0322","Mentioning errors","Causal","OK"
"STUDY-0159","Mentioning errors","Causal","REP"
"STUDY-0419","Mentioning errors","Causal","REP"
"STUDY-0333","Mentioning errors","Descriptive","OK"
"STUDY-0046","Mentioning errors","Causal","OK"
"STUDY-0355","Mentioning errors","Causal","OK"
"STUDY-0845","Mentioning errors","Causal","OK"
"STUDY-0555","Mentioning errors","Causal","OK"
"STUDY-0945","Mentioning errors","Causal","OK"
"STUDY-0365","Mentioning errors","Causal","OK"
"STUDY-0023","Mentioning errors","Causal","REP"
"STUDY-0817","Mentioning errors","Causal","OK"
"STUDY-0170","Mentioning errors","Causal","OK"
"STUDY-0442","Mentioning errors","Causal","OK"
"STUDY-0026","Mentioning errors","Causal","REP"
"STUDY-0048","Mentioning errors","Causal","OK"
"STUDY-0326","Mentioning errors","Causal","REP"
"STUDY-0144","Mentioning errors","Causal","REP"
"STUDY-0045","Mentioning errors","Descriptive","REP"
"STUDY-0234","Mentioning errors","Descriptive","REP"
"STUDY-0788","Mentioning errors","Causal","OK"
"STUDY-0521","Mentioning errors","Causal","OK"
"STUDY-0192","Mentioning errors","Causal","OK"
"STUDY-0049","Mentioning errors","Causal","OK"
"STUDY-0012","Mentioning errors","Descriptive","OK"
"STUDY-0141","Mentioning errors","Causal","OK"
"STUDY-0671","Mentioning errors","Causal","OK"
"STUDY-0924","Mentioning errors","Descriptive","OK"
"STUDY-0182","Mentioning errors","Causal","REP"
"STUDY-0597","Mentioning errors","Causal","OK"
"STUDY-0149","Mentioning errors","Causal","OK"
"STUDY-0256","Mentioning errors","Causal","OK"
"STUDY-0157","Mentioning errors","Causal","OK"
"STUDY-0972","Mentioning errors","Causal","OK"
"STUDY-0766","Mentioning errors","Descriptive","OK"
"STUDY-0257","Mentioning errors","Causal","OK"
"STUDY-0819","Mentioning errors","Causal","OK"
"STUDY-0611","Mentioning errors","Causal","OK"
"STUDY-0942","Mentioning errors","Causal","OK"
"STUDY-0492","Mentioning errors","Descriptive","REP"
"STUDY-0739","Mentioning errors","Causal","REP"
"STUDY-0306","Mentioning errors","Causal","OK"
"STUDY-0112","Mentioning errors","Causal","OK"
"STUDY-0613","Mentioning errors","Causal","REP"
"STUDY-0522","Mentioning errors","Causal","REP"
"STUDY-0792","Mentioning errors","Causal","OK"
"STUDY-0248","Mentioning errors","Causal","REP"
"STUDY-0189","Mentioning errors","Causal","OK"
"STUDY-0701","Mentioning errors","Descriptive","REP"
"STUDY-0040","Mentioning errors","Causal","OK"
"STUDY-0402","Mentioning errors","Descriptive","OK"
"STUDY-0977","Mentioning errors","Causal","REP"
"STUDY-0429","Mentioning errors","Causal","REP"
"STUDY-0589","Mentioning errors","Causal","REP"
"STUDY-0933","Mentioning errors","Causal","OK"
"STUDY-0330","Mentioning errors","Causal","OK"
"STUDY-0922","Mentioning errors","Causal","OK"
"STUDY-0600","Mentioning errors","Causal","OK"
"STUDY-0119","Mentioning errors","Causal","OK"
"STUDY-0251","Mentioning errors","Causal","OK"
"STUDY-0932","Mentioning errors","Causal","OK"
"STUDY-0749","Mentioning errors","Descriptive","OK"
"STUDY-0517","Mentioning errors","Causal","OK"
"STUDY-0210","Mentioning errors","Descriptive","OK"
"STUDY-0923","Mentioning errors","Causal","OK"
"STUDY-0214","Mentioning errors","Causal","OK"
"STUDY-0565","Mentioning errors","Causal","OK"
"STUDY-0899","Mentioning errors","Causal","REP"
"STUDY-0094","Mentioning errors","Causal","OK"
"STUDY-0809","Mentioning errors","Causal","REP"
"STUDY-0793","Mentioning errors","Causal","REP"
"STUDY-0387","Mentioning errors","Descriptive","REP"
"STUDY-0700","Mentioning errors","Causal","OK"
"STUDY-0805","Mentioning errors","Causal","OK"
"STUDY-0780","Mentioning errors","Causal","OK"
"STUDY-0184","Mentioning errors","Causal","REP"
"STUDY-0205","Mentioning errors","Causal","OK"
"STUDY-0740","Mentioning errors","Causal","OK"
"STUDY-0930","Mentioning errors","Causal","OK"
"STUDY-1026","Mentioning errors","Descriptive","REP"
"STUDY-0649","Mentioning errors","Causal","OK"
"STUDY-0133","Mentioning errors","Causal","OK"
"STUDY-0542","Mentioning errors","Causal","OK"
"STUDY-0337","Mentioning errors","Causal","OK"
"STUDY-0702","Mentioning errors","Descriptive","OK"
"STUDY-0541","Mentioning errors","Descriptive","REP"
"STUDY-0840","Mentioning errors","Causal","OK"
"STUDY-0447","Mentioning errors","Causal","REP"
"STUDY-0634","Mentioning errors","Descriptive","OK"
"STUDY-0037","Mentioning errors","Causal","OK"
"STUDY-1021","Mentioning errors","Descriptive","OK"
"STUDY-0268","Mentioning errors","Causal","OK"
"STUDY-0943","Mentioning errors","Descriptive","OK"
"STUDY-0760","Mentioning errors","Descriptive","OK"
"STUDY-0549","Mentioning errors","Causal","OK"
"STUDY-0161","Mentioning errors","Causal","OK"
"STUDY-0064","Mentioning errors","Causal","OK"
"STUDY-0952","Mentioning errors","Descriptive","OK"
"STUDY-0471","Mentioning errors","Causal","REP"
"STUDY-0135","Mentioning errors","Causal","REP"
"STUDY-0963","Mentioning errors","Causal","OK"
"STUDY-0494","Mentioning errors","Causal","REP"
"STUDY-0577","Mentioning errors","Causal","OK"
"STUDY-0598","Mentioning errors","Causal","REP"
"STUDY-0093","Mentioning errors","Causal","OK"
"STUDY-0006","Mentioning errors","Causal","OK"
"STUDY-0698","Mentioning errors","Causal","OK"
"STUDY-0603","Mentioning errors","Causal","OK"
"STUDY-1001","Mentioning errors","Causal","REP"
"STUDY-0423","Mentioning errors","Causal","REP"
"STUDY-0086","Mentioning errors","Descriptive","REP"
"STUDY-0207","Mentioning errors","Causal","REP"
"STUDY-0109","Mentioning errors","Causal","OK"
"STUDY-1016","Mentioning errors","Descriptive","OK"
"STUDY-0473","Mentioning errors","Descriptive","OK"
"STUDY-0295","Mentioning errors","Causal","OK"
"STUDY-0516","Mentioning errors","Causal","OK"
"STUDY-0803","Mentioning errors","Descriptive","REP"
"STUDY-0307","Mentioning errors","Causal","OK"
"STUDY-0560","Mentioning errors","Descriptive","OK"
"STUDY-0132","Mentioning errors","Causal","OK"
"STUDY-0852","Mentioning errors","Causal","OK"
"STUDY-0231","Mentioning errors","Causal","OK"
"STUDY-0595","Mentioning errors","Causal","OK"
"STUDY-0834","Mentioning errors","Causal","OK"
"STUDY-0865","Mentioning errors","Descriptive","REP"
"STUDY-0339","Mentioning errors","Descriptive","REP"
"STUDY-0773","Mentioning errors","Descriptive","REP"
"STUDY-0744","Mentioning errors","Causal","REP"
"STUDY-0475","Mentioning errors","Causal","OK"
"STUDY-0853","Mentioning errors","Causal","OK"
"STUDY-0403","Mentioning errors","Causal","OK"
"STUDY-0628","Mentioning errors","Causal","OK"
"STUDY-0653","Mentioning errors","Causal","OK"
"STUDY-0005","Mentioning errors","Causal","OK"
"STUDY-0162","Mentioning errors","Causal","OK"
"STUDY-0728","Mentioning errors","Causal","OK"
"STUDY-0590","Mentioning errors","Causal","REP"
"STUDY-0440","Mentioning errors","Descriptive","REP"
"STUDY-0450","Mentioning errors","Causal","REP"
"STUDY-0416","Mentioning errors","Causal","REP"
"STUDY-0557","Mentioning errors","Causal","OK"
"STUDY-0352","Mentioning errors","Causal","REP"
"STUDY-0468","Mentioning errors","Descriptive","REP"
"STUDY-0665","Mentioning errors","Causal","OK"
"STUDY-0988","Mentioning errors","Causal","REP"
"STUDY-0252","Mentioning errors","Causal","OK"
"STUDY-0986","Mentioning errors","Causal","OK"
"STUDY-0781","Mentioning errors","Causal","OK"
"STUDY-0360","Mentioning errors","Causal","OK"
"STUDY-1003","Mentioning errors","Descriptive","REP"
