PMID,Study_Type,first_author_saudi,last_author_saudi,corresponding_author_saudi,pct_saudi_ge50,causal_acc_sampl,causal_base_conf_meth,causal_base_sel,causal_comp_dis,causal_conf_var_det,causal_dep_or_indep_misc,causal_design,causal_diff_or_nondiff_exp,causal_diff_or_nondiff_out,causal_err_disc,causal_exp_bias_acc,causal_exposure_type,causal_follow,causal_hand_miss_exposure,causal_hand_miss_outcom,causal_ltfu_acc,causal_ltfu_bias,causal_miss_exposure,causal_miss_outcome,causal_out_bias_acc,causal_outcome_type,causal_pop,causal_sample_ach,causal_sample_size,causal_sampling,causal_time_verying,causal_tv_conf_meth,causal_val_exposure,causal_val_outcome,descriptive_acc_sampl,descriptive_base_sel,descriptive_confl_task,descriptive_design,descriptive_err_disc,descriptive_hand_miss_outcom,descriptive_miss_outcome,descriptive_out_bias_acc,descriptive_outcome_type,descriptive_pop,descriptive_sample_ach,descriptive_sample_size,descriptive_sampling,descriptive_val_outcome,predictive_design,predictive_pop,recusal,task
STUDY-0700,Causal,0,0,0,<50%,No,Randomization,No baseline selection bias from investigator,should be skipped,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,No,Yes,Yes,Non-random,No,,No,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0805,Causal,1,1,1,>=50%,Yes,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,No,,,,,No,No,No,Subjective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0401,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0780,Causal,1,1,1,>=50%,,Stratification;Regression,No,No,Based on none of the above,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Missing data,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0184,Causal,1,0,1,>=50%,No,Randomization,No,No,,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,No,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0205,Causal,0,0,1,<50%,,Regression,No,No,Based on Directed Acyclic Graphs (DAGs)/subject matter expertise,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Subjective,No,No,No,,,Yes,Yes,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0740,Causal,1,1,1,>=50%,No,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias,No,Objective,No,No,,,,Yes,No,No,Subjective,Yes,Yes,Yes,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0930,Causal,1,0,1,<50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error;Measurement bias,No,Objective,Yes,,,,No,No,Not reported or unknown,No,Objective,No,Yes,Yes,Non-random,No,,No,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0822,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-1026,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cohort,None of the above,,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0649,Causal,1,0,1,<50%,,No adjustment for baseline confounding was done,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,No,,,Whole population was invited (no sample was taken),No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0258,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0446,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0133,Causal,1,0,0,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Subjective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0542,Causal,1,1,1,>=50%,,Regression,No,No,Based on previous literature,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Random error,No,Subjective,No,,,,,Not reported or unknown,No,No,Subjective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0337,Causal,1,1,1,>=50%,,Regression,No,No,Based on none of the above,Independent,Pre/post,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Measurement bias;Confounding bias,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0702,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Random error;Selection bias;Measurement bias,,No,No,Subjective,Yes,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0541,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,Yes,Cohort,None of the above,,Not reported or unknown,No,Objective,No,,skipped,Whole population was invited (no sample was taken),No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0840,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No baseline selection bias from investigator,skipped,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Confounding bias,No,Objective,No,skipped,,,,No,Not reported or unknown,No,Objective,Yes,,skipped,Whole population was invited (no sample was taken),No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0447,Causal,1,0,1,>=50%,No,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0634,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Random error,,Not reported or unknown,No,Subjective,Yes,,No,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0037,Causal,0,1,0,>=50%,No,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Objective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-1021,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Random error,,No,No,Objective,Yes,Yes,Yes,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0268,Causal,1,0,1,>=50%,,"Regression;Instrumental variable analysis besides randomization (difference-in-difference, regression discontinuity design, and interrupted time series)",No baseline selection bias from investigator,,Based on previous literature,Independent,"Quasi-experimental (including instrumental variables, difference-in-difference, regression discontinuity design, and interrupted time series)",Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Subjective,No,,,Whole population was invited (no sample was taken),No,skipped,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0449,Predictive,1,0,1,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0943,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cross-sectional,Selection bias;Measurement bias,,Not reported or unknown,No,Subjective,No,,No,Random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0760,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Selection bias,No,Yes,No,Subjective,Yes,,No,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0549,Causal,0,0,0,<50%,No,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,No,,No,,,Not reported or unknown,Yes,No,Objective,No,Yes,Yes,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0161,Causal,1,1,1,>=50%,,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Subjective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0064,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0952,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Cross-sectional,Measurement bias,,Not reported or unknown,No,Objective,Yes,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0471,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Pre/post,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0135,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Subjective,No,,,,,No,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0963,Causal,1,0,1,>=50%,,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,skipped,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0892,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0494,Causal,1,1,1,>=50%,Yes,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0577,Causal,1,0,1,>=50%,Yes,Randomization,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,Yes,,"Yes, single imputation with last value carried forward",,No,No,Yes,No,Objective,Yes,Yes,Yes,Random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0598,Causal,1,1,1,>=50%,No,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Objective,Yes,No,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0093,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0006,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Pre/post,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0386,Predictive,1,0,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0698,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Random error;Measurement bias,No,Objective,No,,,,,No,No,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0603,Causal,1,1,1,>=50%,Yes,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,,,,,No,No,No,Objective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-1001,Causal,1,1,1,>=50%,,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0423,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0086,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,None of the above,,No,No,Objective,No,,No,Non-random,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0207,Causal,1,1,1,>=50%,,Regression,No,No,Based on previous literature,Independent,Ecological,Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0810,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0109,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-1016,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cross-sectional,Measurement bias;Missing data,,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0473,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Cross-sectional,Selection bias,,No,No,Objective,Yes,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0295,Causal,1,1,1,>=50%,No,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,No,No,,,Yes,Yes,No,Subjective,Yes,Yes,Yes,Random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0516,Causal,1,1,1,>=50%,,Regression;Matching;Propensity score,No baseline selection bias from investigator,,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,No,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0803,Descriptive,1,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cohort,None of the above,,No,No,Objective,No,,,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0307,Causal,0,0,0,<50%,Yes,Randomization,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Selection bias;Measurement bias,No,Objective,Yes,,,,No,No,No,No,Objective,No,Yes,Yes,Random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0560,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skipped,No,Yes,Cross-sectional,Selection bias;Measurement bias,,Not reported or unknown,No,Objective,Yes,skipped,skipped,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0132,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Missing data,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0852,Causal,1,1,1,>=50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,No,,,,,No,No,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0231,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Random error;Measurement bias,No,Objective,No,,,,,No,No,No,Objective,No,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0595,Causal,1,1,1,>=50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,No,No,,,Yes,Yes,No,Objective,Yes,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0129,Predictive,0,1,0,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0834,Causal,0,1,0,<50%,Yes,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Selection bias,No,Objective,Yes,,No,,No,No,Yes,No,Objective,No,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0865,Descriptive,0,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cross-sectional,None of the above,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0339,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cohort,None of the above,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0773,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,None of the above,,No,No,Objective,No,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0744,Causal,0,1,0,<50%,skipped,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,No,skipped,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0475,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on none of the above,Independent,Pre/post,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,,,,,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,skipped,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0853,Causal,0,0,0,<50%,,Regression,No baseline selection bias from investigator,,Based on previous literature;Based on statistical criteria,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Measurement bias;Confounding bias;Missing data,No,Objective,Yes,"Yes, single imputation with predicted value using regression",,,No,Yes,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
